category_code,founded_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,isClosed,Active_Days
games_video,2007,USA,1.0,3652913.0,1.0,2.0,1,5110.0
public_relations,2001,USA,1.0,3652913.0,1.0,1.0,1,7300.0
software,2002,USA,1.0,3652913.0,1.0,8.0,1,6935.0
web,2010,USA,1.0,4000000.0,1.0,5.0,1,4015.0
web,2007,USA,1.0,3652913.0,2.0,2.0,0,1095.0
web,2010,USA,1.0,3652913.0,1.0,4.0,1,4015.0
network_hosting,2011,BRA,1.0,3652913.0,1.0,1.0,1,3650.0
advertising,2011,USA,1.0,3652913.0,1.0,6.0,1,3650.0
ecommerce,2007,USA,1.0,160000.0,1.0,3.0,1,5110.0
enterprise,2007,USA,1.0,500000.0,1.0,1.0,1,5110.0
enterprise,2007,USA,1.0,3652913.0,1.0,2.0,1,5110.0
other,1996,USA,1.0,3652913.0,2.0,7.0,1,9125.0
software,2011,USA,1.0,48501.0,2.0,7.0,1,3650.0
ecommerce,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
search,2005,BEL,1.0,3652913.0,2.0,3.0,1,5840.0
network_hosting,2004,USA,2.0,22600000.0,1.0,4.0,1,6205.0
consulting,2003,USA,1.0,3652913.0,2.0,1.0,1,6570.0
network_hosting,2005,USA,1.0,100000.0,1.0,5.0,1,5840.0
public_relations,2007,USA,1.0,3652913.0,1.0,4.0,1,5110.0
biotech,2008,USA,2.0,2365000.0,1.0,1.0,1,4745.0
mobile,2010,ISR,1.0,750000.0,2.0,5.0,1,4015.0
ecommerce,2011,IND,1.0,3652913.0,2.0,1.0,1,3650.0
consulting,2009,GBR,1.0,3652913.0,1.0,4.0,1,4380.0
games_video,2008,CHN,1.0,3652913.0,2.0,7.0,1,4745.0
ecommerce,1996,SVK,1.0,4500000.0,1.0,2.0,1,9125.0
games_video,2010,PAK,1.0,3652913.0,1.0,1.0,1,4015.0
ecommerce,2006,USA,1.0,3652913.0,1.0,2.0,1,5475.0
software,2007,USA,2.0,5806037.0,1.0,1.0,1,5110.0
mobile,2008,GBR,1.0,1500000.0,1.0,1.0,1,4745.0
nonprofit,2011,USA,2.0,100000.0,1.0,3.0,1,3650.0
web,2004,USA,1.0,3652913.0,1.0,2.0,1,6205.0
semiconductor,1980,USA,1.0,3652913.0,1.0,2.0,1,14965.0
web,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
software,2008,USA,1.0,3652913.0,1.0,3.0,0,1460.0
web,2010,CSS,1.0,3652913.0,1.0,2.0,1,4015.0
ecommerce,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
other,2011,FIN,1.0,3652913.0,1.0,1.0,1,3650.0
other,2010,USA,1.0,3652913.0,1.0,1.0,1,4015.0
enterprise,2007,USA,1.0,10000000.0,1.0,7.0,1,5110.0
software,1999,USA,1.0,3652913.0,1.0,1.0,1,8030.0
software,2005,PAK,1.0,3652913.0,1.0,2.0,1,5840.0
web,2010,CAN,1.0,3652913.0,1.0,1.0,1,4015.0
mobile,2001,TWN,1.0,3652913.0,1.0,2.0,1,7300.0
software,2007,UKR,1.0,3652913.0,1.0,1.0,1,5110.0
enterprise,2007,ESP,2.0,5000000.0,2.0,6.0,1,5110.0
web,2011,USA,1.0,3652913.0,1.0,3.0,1,3650.0
software,2002,USA,1.0,3652913.0,1.0,4.0,1,6935.0
web,1998,USA,1.0,3652913.0,1.0,2.0,1,8395.0
other,2008,NLD,1.0,3652913.0,1.0,2.0,1,4745.0
travel,2011,IND,1.0,200000.0,2.0,2.0,1,3650.0
education,2009,DEU,1.0,296384.0,2.0,4.0,1,4380.0
software,1986,GBR,1.0,3652913.0,1.0,5.0,1,12775.0
enterprise,2004,USA,3.0,15500000.0,1.0,3.0,1,6205.0
travel,2010,RUS,1.0,2750000.0,1.0,2.0,1,4015.0
software,2002,FRA,1.0,3652913.0,1.0,1.0,1,6935.0
software,2008,USA,2.0,6545000.0,2.0,6.0,1,4745.0
sports,2011,USA,1.0,100000.0,1.0,2.0,1,3650.0
games_video,2011,CAN,1.0,3652913.0,1.0,4.0,1,3650.0
software,2007,CAN,2.0,4100000.0,1.0,8.0,1,5110.0
software,2008,USA,1.0,3652913.0,1.0,4.0,1,4745.0
web,2010,USA,1.0,3652913.0,2.0,2.0,1,4015.0
ecommerce,2010,ISR,1.0,3652913.0,1.0,3.0,1,4015.0
fashion,2004,USA,3.0,26000006.0,2.0,3.0,1,6205.0
consulting,2010,CAN,1.0,3652913.0,1.0,1.0,1,4015.0
finance,2011,HKG,1.0,3652913.0,2.0,4.0,1,3650.0
web,2006,USA,1.0,3652913.0,1.0,1.0,1,5475.0
software,2010,IND,1.0,3652913.0,1.0,3.0,1,4015.0
mobile,2007,USA,1.0,3652913.0,1.0,1.0,1,5110.0
ecommerce,2011,USA,1.0,700000.0,1.0,2.0,1,3650.0
web,2008,USA,1.0,3652913.0,1.0,1.0,1,4745.0
ecommerce,2011,USA,1.0,3652913.0,1.0,1.0,1,3650.0
web,2011,AUS,1.0,3652913.0,1.0,2.0,1,3650.0
mobile,2011,HKG,1.0,3652913.0,1.0,3.0,1,3650.0
software,2010,NLD,1.0,3652913.0,1.0,3.0,1,4015.0
web,2008,USA,1.0,3652913.0,3.0,6.0,1,4745.0
mobile,2004,USA,1.0,500000.0,1.0,3.0,1,6205.0
other,2004,IND,1.0,3652913.0,1.0,3.0,1,6205.0
